name,email,contact_number,address,is_active
Customer 1,customer1@example.com,+1-555-0010001,"1 Customer Avenue, City, State, ZIP",1
Customer 2,customer2@example.com,+1-555-0010002,"2 Customer Avenue, City, State, ZIP",1
Customer 3,customer3@example.com,+1-555-0010003,"3 Customer Avenue, City, State, ZIP",1
Customer 4,customer4@example.com,+1-555-0010004,"4 Customer Avenue, City, State, ZIP",1
Customer 5,customer5@example.com,+1-555-0010005,"5 Customer Avenue, City, State, ZIP",1
Customer 6,customer6@example.com,+1-555-0010006,"6 Customer Avenue, City, State, ZIP",1
Customer 7,customer7@example.com,+1-555-0010007,"7 Customer Avenue, City, State, ZIP",1
Customer 8,customer8@example.com,+1-555-0010008,"8 Customer Avenue, City, State, ZIP",1
Customer 9,customer9@example.com,+1-555-0010009,"9 Customer Avenue, City, State, ZIP",1
Customer 10,customer10@example.com,+1-555-0010010,"10 Customer Avenue, City, State, ZIP",1
Customer 11,customer11@example.com,+1-555-0010011,"11 Customer Avenue, City, State, ZIP",1
Customer 12,customer12@example.com,+1-555-0010012,"12 Customer Avenue, City, State, ZIP",1
Customer 13,customer13@example.com,+1-555-0010013,"13 Customer Avenue, City, State, ZIP",1
Customer 14,customer14@example.com,+1-555-0010014,"14 Customer Avenue, City, State, ZIP",1
Customer 15,customer15@example.com,+1-555-0010015,"15 Customer Avenue, City, State, ZIP",1
Customer 16,customer16@example.com,+1-555-0010016,"16 Customer Avenue, City, State, ZIP",1
Customer 17,customer17@example.com,+1-555-0010017,"17 Customer Avenue, City, State, ZIP",1
Customer 18,customer18@example.com,+1-555-0010018,"18 Customer Avenue, City, State, ZIP",1
Customer 19,customer19@example.com,+1-555-0010019,"19 Customer Avenue, City, State, ZIP",1
Customer 20,customer20@example.com,+1-555-0010020,"20 Customer Avenue, City, State, ZIP",1
Customer 21,customer21@example.com,+1-555-0010021,"21 Customer Avenue, City, State, ZIP",1
Customer 22,customer22@example.com,+1-555-0010022,"22 Customer Avenue, City, State, ZIP",1
Customer 23,customer23@example.com,+1-555-0010023,"23 Customer Avenue, City, State, ZIP",1
Customer 24,customer24@example.com,+1-555-0010024,"24 Customer Avenue, City, State, ZIP",1
Customer 25,customer25@example.com,+1-555-0010025,"25 Customer Avenue, City, State, ZIP",1
Customer 26,customer26@example.com,+1-555-0010026,"26 Customer Avenue, City, State, ZIP",1
Customer 27,customer27@example.com,+1-555-0010027,"27 Customer Avenue, City, State, ZIP",1
Customer 28,customer28@example.com,+1-555-0010028,"28 Customer Avenue, City, State, ZIP",1
Customer 29,customer29@example.com,+1-555-0010029,"29 Customer Avenue, City, State, ZIP",1
Customer 30,customer30@example.com,+1-555-0010030,"30 Customer Avenue, City, State, ZIP",1
Customer 31,customer31@example.com,+1-555-0010031,"31 Customer Avenue, City, State, ZIP",1
Customer 32,customer32@example.com,+1-555-0010032,"32 Customer Avenue, City, State, ZIP",1
Customer 33,customer33@example.com,+1-555-0010033,"33 Customer Avenue, City, State, ZIP",1
Customer 34,customer34@example.com,+1-555-0010034,"34 Customer Avenue, City, State, ZIP",1
Customer 35,customer35@example.com,+1-555-0010035,"35 Customer Avenue, City, State, ZIP",1
Customer 36,customer36@example.com,+1-555-0010036,"36 Customer Avenue, City, State, ZIP",1
Customer 37,customer37@example.com,+1-555-0010037,"37 Customer Avenue, City, State, ZIP",1
Customer 38,customer38@example.com,+1-555-0010038,"38 Customer Avenue, City, State, ZIP",1
Customer 39,customer39@example.com,+1-555-0010039,"39 Customer Avenue, City, State, ZIP",1
Customer 40,customer40@example.com,+1-555-0010040,"40 Customer Avenue, City, State, ZIP",1
Customer 41,customer41@example.com,+1-555-0010041,"41 Customer Avenue, City, State, ZIP",1
Customer 42,customer42@example.com,+1-555-0010042,"42 Customer Avenue, City, State, ZIP",1
Customer 43,customer43@example.com,+1-555-0010043,"43 Customer Avenue, City, State, ZIP",1
