name,supplier_primary_email,supplier_secondary_email,supplier_type,supplier_business_name,supplier_business_register_no,contact_no,address,description,supplier_website,supplier_tel_no,supplier_mobile,supplier_fax,supplier_city,supplier_location_latitude,supplier_location_longitude,email,asset_categories
Premier Group,supplier0001.primary@business.com,supplier0001.secondary@business.com,Company,Premier Group,BR142349637,+1-654-647-5272,"8420 Cedar Avenue, Phoenix, NC 55822",Premium quality equipment and supplies,https://www.supplier0001.com,+1-341-313-4485,+1-574-164-4593,+1-542-452-4771,Phoenix,41.1521197,-67.521758,supplier0001@business.com,"Medical Supplies,Stationery,Safety Equipment"
Emily Jones,supplier0002.primary@yahoo.com,supplier0002.secondary@yahoo.com,Individual,Advanced Industries,BR752382826,+1-304-662-7577,"2682 Main Lane, New York, FL 70334",Leading supplier of quality products,https://www.supplier0002.com,+1-218-588-5217,+1-245-832-9275,+1-927-221-3385,New York,34.9528365,-84.748796,supplier0002@yahoo.com,"Safety Equipment,Furniture,Electronics"
Tech Solutions,supplier0003.primary@hotmail.com,supplier0003.secondary@hotmail.com,Company,Tech Solutions,BR892281074,+1-951-753-8282,"828 Oak Avenue, Los Angeles, OH 49699",Excellence in product delivery,https://www.supplier0003.com,+1-341-741-7492,+1-514-181-6635,+1-967-782-7144,Los Angeles,29.0730904,-71.094293,supplier0003@hotmail.com,"IT Equipment,Electronics"
Premier Group,supplier0004.primary@business.com,supplier0004.secondary@business.com,Company,Premier Group,BR614711730,+1-959-381-3655,"3780 River Avenue, San Jose, CA 47852",Professional grade equipment supplier,https://www.supplier0004.com,+1-607-284-5606,+1-750-763-6149,+1-385-500-2017,San Jose,47.5667971,-78.32269,supplier0004@business.com,"Electronics,Stationery,Safety Equipment"
James Jones,supplier0005.primary@gmail.com,supplier0005.secondary@gmail.com,Individual,Advanced Systems,BR999631693,+1-251-569-8088,"1368 Park Boulevard, Chicago, PA 15226",Industry-leading technology provider,https://www.supplier0005.com,+1-717-612-8070,+1-540-772-1934,+1-925-214-2456,Chicago,48.684036,-122.379153,supplier0005@gmail.com,"IT Equipment,Electronics,Machinery"
Jane Williams,supplier0006.primary@gmail.com,supplier0006.secondary@gmail.com,Individual,Tech Technologies,BR648170763,+1-992-499-2642,"9664 Cedar Street, New York, NC 69211",Trusted partner for business solutions,https://www.supplier0006.com,+1-335-745-3254,+1-695-816-1400,+1-540-199-1505,New York,27.6297108,-120.027661,supplier0006@gmail.com,"Machinery,Electronics,Stationery"
Smart Group,supplier0007.primary@gmail.com,supplier0007.secondary@gmail.com,Company,Smart Group,BR277164328,+1-247-712-7976,"5544 Cedar Avenue, New York, NC 34427",Innovative solutions for modern business,https://www.supplier0007.com,+1-599-643-7753,+1-954-664-2267,+1-615-659-4568,New York,36.2464519,-92.943485,supplier0007@gmail.com,"Electronics,IT Equipment,Stationery"
Global Partners,supplier0008.primary@yahoo.com,supplier0008.secondary@yahoo.com,Company,Global Partners,BR989163649,+1-663-692-9462,"916 Hill Boulevard, Houston, PA 43084",Excellence in product delivery,https://www.supplier0008.com,+1-815-767-8109,+1-346-484-8372,+1-718-123-1409,Houston,34.8136609,-119.201051,supplier0008@yahoo.com,"Medical Supplies,Electronics,Furniture"
Tech Partners,supplier0009.primary@yahoo.com,supplier0009.secondary@yahoo.com,Company,Tech Partners,BR847068654,+1-693-485-1419,"8962 Oak Road, Dallas, NC 61227",Leading supplier of quality products,https://www.supplier0009.com,+1-759-968-5228,+1-507-166-5721,+1-657-172-4373,Dallas,36.8803533,-84.562023,supplier0009@yahoo.com,"Medical Supplies,Safety Equipment"
United Systems,supplier0010.primary@business.com,supplier0010.secondary@business.com,Company,United Systems,BR268535696,+1-985-853-8559,"3947 Hill Drive, San Antonio, TX 73880",Innovative solutions for modern business,https://www.supplier0010.com,+1-672-548-6850,+1-842-890-2175,+1-409-442-5663,San Antonio,43.7565365,-98.423018,supplier0010@business.com,"Electronics,Furniture"
Emily Williams,supplier0011.primary@gmail.com,supplier0011.secondary@gmail.com,Individual,Digital Systems,BR968282557,+1-398-888-4853,"7421 Main Lane, San Jose, OH 59622",Leading supplier of quality products,https://www.supplier0011.com,+1-697-317-2313,+1-750-536-8574,+1-888-743-4316,San Jose,39.4760206,-99.749673,supplier0011@gmail.com,"Stationery,Medical Supplies"
