name,supplier_primary_email,supplier_secondary_email,supplier_type,supplier_business_name,supplier_business_register_no,contact_no,address,description,supplier_website,supplier_tel_no,supplier_mobile,supplier_fax,supplier_city,supplier_location_latitude,supplier_location_longitude,email,asset_categories
Frank Cortez,thomas26.primary@hotmail.com,thomas26.secondary@hotmail.com,Individual,Johnston-Whitehead,BR979396468,001-562-728-0188x305,"565 Kevin Throughway Apt. 697, Jillianstad, UT 90792",Fully-configurable asymmetric approach,https://ross.com,+1-372-306-4081x66050,037-734-2499x68725,968.788.1389x1233,Lake Erin,2.5118235,-131.293803,thomas26@hotmail.com,Electronics
Santiago-Faulkner,timothy65.primary@gmail.com,timothy65.secondary@gmail.com,Company,Santiago-Faulkner,BR582050749,(029)202-4686,"97324 Patricia Mall, Leside, RI 76312",Networked 5thgeneration project,https://pierce.com,001-453-478-7454,078-321-2970,271.087.6585x169,East Brianbury,-5.2075585,-94.492511,timothy65@gmail.com,Machinery
Ashley Cohen,staylor.primary@hotmail.com,staylor.secondary@hotmail.com,Individual,Brooks Group,BR537615817,957.053.5068x15630,"USNS Poole, FPO AE 65779",Realigned demand-driven emulation,https://hoffman.com,664.290.3260,030.624.0739,+1-097-344-4273x9089,North Heathershire,-47.973215,174.174439,staylor@hotmail.com,Electronics
Mark Hammond,brownkirk.primary@gmail.com,brownkirk.secondary@gmail.com,Individual,Smith and Sons,BR194253616,1956398323,"PSC 7852, Box 2007, APO AE 41954",Distributed responsive Graphic Interface,https://lewis.com,906-068-1030x55986,+1-058-031-9954x4630,364.778.5069x66013,Andrewborough,43.021035,-5.057358,brownkirk@gmail.com,Machinery
James Brown,robinsonshelby.primary@yahoo.com,robinsonshelby.secondary@yahoo.com,Individual,Taylor-Ramos,BR603501258,(652)633-1429x88919,"53293 Seth Glen Apt. 336, Sandersland, CO 48436",Re-engineered multimedia website,https://sweeney.info,+1-041-260-2665x97271,+1-690-892-9060x006,+1-734-895-1356x02657,Brooksside,-16.4090375,158.966487,robinsonshelby@yahoo.com,Stationery
Kelly Mejia,zthomas.primary@gmail.com,zthomas.secondary@gmail.com,Individual,"Cunningham, Bradley and Wood",BR234692296,(219)431-1999x898,"698 Richard Spur Apt. 536, Ramseytown, CT 82318",Managed responsive ability,https://jones.com,7579164414,581-785-4327,001-343-880-4504,East Benjamin,-82.749014,-81.623892,zthomas@gmail.com,Machinery
"Anderson, Thomas and Douglas",brett56.primary@hotmail.com,brett56.secondary@hotmail.com,Company,"Anderson, Thomas and Douglas",BR595280059,1253974344,"1589 Carlos Fork Suite 933, New Katelynmouth, RI 70273",Digitized multi-tasking instruction set,https://reed-martinez.net,855.624.2140,(620)413-4156x29053,(976)010-9773,Fordburgh,-19.32641,-0.229706,brett56@hotmail.com,Stationery
Johnson-Martin,ellisthomas.primary@gmail.com,ellisthomas.secondary@gmail.com,Company,Johnson-Martin,BR573463286,957.267.1359,"8466 Dudley Bypass, East Beverly, ID 63689",Total human-resource artificial intelligence,https://lewis.com,+1-084-549-6389,+1-432-022-4363x6293,362.598.3744x092,Port Donald,-65.101581,-176.154454,ellisthomas@gmail.com,Electronics
"Miller, Shepherd and White",benjamin56.primary@yahoo.com,benjamin56.secondary@yahoo.com,Company,"Miller, Shepherd and White",BR734714157,(648)938-4054,"88236 Willis Prairie Apt. 066, South Sarah, AL 07350",Business-focused fresh-thinking middleware,https://adams.com,010-514-6516x546,786.306.7144x881,528-991-6825,Leeside,-60.254839,47.630092,benjamin56@yahoo.com,Machinery
"Bradley, Young and Sawyer",stephanieward.primary@gmail.com,stephanieward.secondary@gmail.com,Company,"Bradley, Young and Sawyer",BR578077135,001-339-385-8057x116,"2709 Castillo Glens Apt. 215, North Eileenstad, OH 72174",Multi-layered asymmetric orchestration,https://green.net,+1-806-366-8697,001-735-500-1450x925,+1-466-648-4121,West Michelle,70.649931,-66.479026,stephanieward@gmail.com,Machinery
Cassandra Cooper,ericjohns.primary@gmail.com,ericjohns.secondary@gmail.com,Individual,"Farley, Holt and Gomez",BR307304029,983.272.5621,"USS Chapman, FPO AA 52432",Reactive 3rdgeneration info-mediaries,https://suarez-mcintyre.com,001-821-239-6073x842,+1-523-793-5263,451-775-9944x8318,Acostaside,11.419316,153.475133,ericjohns@gmail.com,IT Equipment
"Wallace, Davis and Murillo",johncarroll.primary@hotmail.com,johncarroll.secondary@hotmail.com,Company,"Wallace, Davis and Murillo",BR397982428,206.804.8025,"56610 Davis Orchard, Michaelchester, MD 35830",Front-line directional orchestration,https://reynolds-harper.org,621.043.7778x9676,4664110592,+1-721-517-2883x8198,New Isabellafurt,70.95208,171.066078,johncarroll@hotmail.com,Electronics
"Small, Flores and Jones",nicholas63.primary@gmail.com,nicholas63.secondary@gmail.com,Company,"Small, Flores and Jones",BR553907555,+1-141-061-1860,"12244 Avila Station Suite 132, North Charlesside, AZ 78757",Business-focused global paradigm,https://hudson-powell.com,+1-810-771-7761x1930,+1-036-186-4610,(027)635-8410x57181,New Derek,-73.0368455,-131.099361,nicholas63@gmail.com,Furniture
"Weber, Gibbs and Lewis",brian62.primary@gmail.com,brian62.secondary@gmail.com,Company,"Weber, Gibbs and Lewis",BR100247001,001-939-144-4666,"384 Arnold Wall, South Mary, MO 55819",Integrated cohesive software,https://rodriguez.net,(737)687-4664,016-369-1842x1060,176.343.5690,North Priscillashire,-27.6216615,20.915346,brian62@gmail.com,IT Equipment
Noah Lee,wnguyen.primary@hotmail.com,wnguyen.secondary@hotmail.com,Individual,Wallace LLC,BR588174502,077-811-4098,"202 Farley Bridge Suite 276, Liside, CA 44175",Expanded eco-centric flexibility,https://hill.info,1837687374,4463577800,+1-548-776-2543x927,New Stephenmouth,69.7360715,-24.252882,wnguyen@hotmail.com,IT Equipment
"Hanna, Johnston and Leonard",kimberlyrodgers.primary@gmail.com,kimberlyrodgers.secondary@gmail.com,Company,"Hanna, Johnston and Leonard",BR357716811,7085660978,"651 Lawrence Walk, Robinberg, FL 20035",Decentralized hybrid algorithm,https://rodriguez.com,264.905.6484x490,+1-730-625-6088x3780,+1-871-824-5389x72164,Daniellebury,-26.928646,76.577032,kimberlyrodgers@gmail.com,Electronics
Stephen Reese,kimestes.primary@gmail.com,kimestes.secondary@gmail.com,Individual,"Powers, Rich and Phillips",BR417601008,345.067.3144,"Unit 5801 Box 7929, DPO AA 67543",Pre-emptive solution-oriented leverage,https://brown-clark.biz,(979)337-6162x321,001-215-539-5697x31888,(637)061-4561x2496,East Lisa,75.1588855,-110.543172,kimestes@gmail.com,Electronics
